customerNumber,checkNumber,paymentDate,amount
103,HQ336336,10/19/2004,6066.78
103,JM555205,6/5/2003,14571.44
103,OM314933,12/18/2004,1676.14
112,BO864823,12/17/2004,14191.12
112,HQ55022,6/6/2003,32641.98
112,ND748579,8/20/2004,33347.88
114,GG31455,5/20/2003,45864.03
114,MA765515,12/15/2004,82261.22
114,NP603840,5/31/2003,7565.08
114,NR27552,3/10/2004,44894.74
119,DB933704,11/14/2004,19501.82
119,LN373447,8/8/2004,47924.19
119,NG94694,2/22/2005,49523.67
121,DB889831,2/16/2003,50218.95
121,FD317790,10/28/2003,1491.38
121,KI831359,11/4/2004,17876.32
121,MA302151,11/28/2004,34638.14
124,AE215433,3/5/2005,101244.59
124,BG255406,8/28/2004,85410.87
124,CQ287967,4/11/2003,11044.3
124,ET64396,4/16/2005,83598.04
124,HI366474,12/27/2004,47142.7
124,HR86578,11/2/2004,55639.66
124,KI131716,8/15/2003,111654.4
124,LF217299,3/26/2004,43369.3
124,NT141748,11/25/2003,45084.38
128,DI925118,1/28/2003,10549.01
128,FA465482,10/18/2003,24101.81
128,FH668230,3/24/2004,33820.62
128,IP383901,11/18/2004,7466.32
129,DM826140,12/8/2004,26248.78
129,ID449593,12/11/2003,23923.93
129,PI42991,4/9/2003,16537.85
131,CL442705,3/12/2003,22292.62
131,MA724562,12/2/2004,50025.35
131,NB445135,9/11/2004,35321.97
141,AU364101,7/19/2003,36251.03
141,DB583216,11/1/2004,36140.38
141,DL460618,5/19/2005,46895.48
141,HJ32686,1/30/2004,59830.55
141,ID10962,12/31/2004,116208.4
141,IN446258,3/25/2005,65071.26
141,JE105477,3/18/2005,120166.58
141,JN355280,10/26/2003,49539.37
141,JN722010,2/25/2003,40206.2
141,KT52578,12/9/2003,63843.55
141,MC46946,7/9/2004,35420.74
141,MF629602,8/16/2004,20009.53
141,NU627706,5/17/2004,26155.91
144,IR846303,12/12/2004,36005.71
144,LA685678,4/9/2003,7674.94
145,CN328545,7/3/2004,4710.73
145,ED39322,4/26/2004,28211.7
145,HR182688,12/1/2004,20564.86
145,JJ246391,2/20/2003,53959.21
146,FP549817,3/18/2004,40978.53
146,FU793410,1/16/2004,49614.72
146,LJ160635,12/10/2003,39712.1
148,BI507030,4/22/2003,44380.15
148,DD635282,8/11/2004,2611.84
148,KM172879,12/26/2003,105743
148,ME497970,3/27/2005,3516.04
151,BF686658,12/22/2003,58793.53
151,GB852215,7/26/2004,20314.44
151,IP568906,6/18/2003,58841.35
151,KI884577,12/14/2004,39964.63
157,HI618861,11/19/2004,35152.12
157,NN711988,9/7/2004,63357.13
161,BR352384,11/14/2004,2434.25
161,BR478494,11/18/2003,50743.65
161,KG644125,2/2/2005,12692.19
161,NI908214,8/5/2003,38675.13
166,BQ327613,9/16/2004,38785.48
166,DC979307,7/7/2004,44160.92
166,LA318629,2/28/2004,22474.17
167,ED743615,9/19/2004,12538.01
167,GN228846,12/3/2003,85024.46
171,GB878038,3/15/2004,18997.89
171,IL104425,11/22/2003,42783.81
172,AD832091,9/9/2004,1960.8
172,CE51751,12/4/2004,51209.58
172,EH208589,4/20/2003,33383.14
173,GP545698,5/13/2004,11843.45
173,IG462397,3/29/2004,20355.24
175,CITI3434344,5/19/2005,28500.78
175,IO448913,11/19/2003,24879.08
175,PI15215,7/10/2004,42044.77
177,AU750837,4/17/2004,15183.63
177,CI381435,1/19/2004,47177.59
181,CM564612,4/25/2004,22602.36
181,GQ132144,1/30/2003,5494.78
181,OH367219,11/16/2004,44400.5
186,AE192287,3/10/2005,23602.9
186,AK412714,10/27/2003,37602.48
186,KA602407,10/21/2004,34341.08
187,AM968797,11/3/2004,52825.29
187,BQ39062,12/8/2004,47159.11
187,KL124726,3/27/2003,48425.69
189,BO711618,10/3/2004,17359.53
189,NM916675,3/1/2004,32538.74
198,FI192930,12/6/2004,9658.74
198,HQ920205,7/6/2003,6036.96
198,IS946883,9/21/2004,5858.56
201,DP677013,10/20/2003,23908.24
201,OO846801,6/15/2004,37258.94
202,HI358554,12/18/2003,36527.61
202,IQ627690,11/8/2004,33594.58
204,GC697638,8/13/2004,51152.86
204,IS150005,9/24/2004,4424.4
205,GL756480,12/4/2003,3879.96
205,LL562733,9/5/2003,50342.74
205,NM739638,2/6/2005,39580.6
209,BOAF82044,5/3/2005,35157.75
209,ED520529,6/21/2004,4632.31
209,PH785937,5/4/2004,36069.26
211,BJ535230,12/9/2003,45480.79
216,BG407567,5/9/2003,3101.4
216,ML780814,12/6/2004,24945.21
216,MM342086,12/14/2003,40473.86
219,BN17870,3/2/2005,3452.75
219,BR941480,10/18/2003,4465.85
227,MQ413968,10/31/2003,36164.46
227,NU21326,11/2/2004,53745.34
233,BOFA23232,5/20/2005,29070.38
233,II180006,7/1/2004,22997.45
233,JG981190,11/18/2003,16909.84
239,NQ865547,3/15/2004,80375.24
240,IF245157,11/16/2004,46788.14
240,JO719695,3/28/2004,24995.61
242,AF40894,11/22/2003,33818.34
242,HR224331,6/3/2005,12432.32
242,KI744716,7/21/2003,14232.7
249,IJ399820,9/19/2004,33924.24
249,NE404084,9/4/2004,48298.99
250,EQ12267,5/17/2005,17928.09
250,HD284647,12/30/2004,26311.63
250,HN114306,7/18/2003,23419.47
256,EP227123,2/10/2004,5759.42
256,HE84936,10/22/2004,53116.99
259,EU280955,11/6/2004,61234.67
259,GB361972,12/7/2003,27988.47
260,IO164641,8/30/2004,37527.58
260,NH776924,4/24/2004,29284.42
276,EM979878,2/9/2005,27083.78
276,KM841847,11/13/2003,38547.19
276,LE432182,9/28/2003,41554.73
276,OJ819725,4/30/2005,29848.52
278,BJ483870,12/5/2004,37654.09
278,GP636783,3/2/2003,52151.81
278,NI983021,11/24/2003,37723.79
282,IA793562,8/3/2003,24013.52
282,JT819493,8/2/2004,35806.73
282,OD327378,1/3/2005,31835.36
286,DR578578,10/28/2004,47411.33
286,KH910279,9/5/2004,43134.04
298,AJ574927,3/13/2004,47375.92
298,LF501133,9/18/2004,61402
299,AD304085,10/24/2003,36798.88
299,NR157385,9/5/2004,32260.16
311,DG336041,2/15/2005,46770.52
311,FA728475,10/6/2003,32723.04
311,NQ966143,4/25/2004,16212.59
314,LQ244073,8/9/2004,45352.47
314,MD809704,3/3/2004,16901.38
319,HL685576,11/6/2004,42339.76
319,OM548174,12/7/2003,36092.4
320,GJ597719,1/18/2005,8307.28
320,HO576374,8/20/2003,41016.75
320,MU817160,11/24/2003,52548.49
321,DJ15149,11/3/2003,85559.12
321,LA556321,3/15/2005,46781.66
323,AL493079,5/23/2005,75020.13
323,ES347491,6/24/2004,37281.36
323,HG738664,7/5/2003,2880
323,PQ803830,12/24/2004,39440.59
324,DQ409197,12/13/2004,13671.82
324,FP443161,7/7/2003,29429.14
324,HB150714,11/23/2003,37455.77
328,EN930356,4/16/2004,7178.66
328,NR631421,5/30/2004,31102.85
333,HL209210,11/15/2003,23936.53
333,JK479662,10/17/2003,9821.32
333,NF959653,3/1/2005,21432.31
334,CS435306,1/27/2005,45785.34
334,HH517378,8/16/2003,29716.86
334,LF737277,5/22/2004,28394.54
339,AP286625,10/24/2004,23333.06
339,DA98827,11/28/2003,34606.28
344,AF246722,11/24/2003,31428.21
344,NJ906924,4/2/2004,15322.93
347,DG700707,1/18/2004,21053.69
347,LG808674,10/24/2003,20452.5
350,BQ602907,12/11/2004,18888.31
350,CI471510,5/25/2003,50824.66
350,OB648482,1/29/2005,1834.56
353,CO351193,1/10/2005,49705.52
353,ED878227,7/21/2003,13920.26
353,GT878649,5/21/2003,16700.47
353,HJ618252,6/9/2005,46656.94
357,AG240323,12/16/2003,20220.04
357,NB291497,5/15/2004,36442.34
362,FP170292,7/11/2004,18473.71
362,OG208861,9/21/2004,15059.76
363,HL575273,11/17/2004,50799.69
363,IS232033,1/16/2003,10223.83
363,PN238558,12/5/2003,55425.77
379,CA762595,2/12/2005,28322.83
379,FR499138,9/16/2003,32680.31
379,GB890854,8/2/2004,12530.51
381,BC726082,12/3/2004,12081.52
381,CC475233,4/19/2003,1627.56
381,GB117430,2/3/2005,14379.9
381,MS154481,8/22/2003,1128.2
382,CC871084,5/12/2003,35826.33
382,CT821147,8/1/2004,6419.84
382,PH29054,11/27/2004,42813.83
385,BN347084,12/2/2003,20644.24
385,CP804873,11/19/2004,15822.84
385,EK785462,3/9/2003,51001.22
386,DO106109,11/18/2003,38524.29
386,HG438769,7/18/2004,51619.02
398,AJ478695,2/14/2005,33967.73
398,DO787644,6/21/2004,22037.91
398,JPMR4544,5/18/2005,615.45
398,KB54275,11/29/2004,48927.64
406,BJMPR4545,4/23/2005,12190.85
406,HJ217687,1/28/2004,49165.16
406,NA197101,6/17/2004,25080.96
412,GH197075,7/25/2004,35034.57
412,PJ434867,4/14/2004,31670.37
415,ER54537,9/28/2004,31310.09
424,KF480160,12/7/2004,25505.98
424,LM271923,4/16/2003,21665.98
424,OA595449,10/31/2003,22042.37
447,AO757239,9/15/2003,6631.36
447,ER615123,6/25/2003,17032.29
447,OU516561,12/17/2004,26304.13
448,FS299615,4/18/2005,27966.54
448,KR822727,9/30/2004,48809.9
450,EF485824,6/21/2004,59551.38
452,ED473873,11/15/2003,27121.9
452,FN640986,11/20/2003,15130.97
452,HG635467,5/3/2005,8807.12
455,HA777606,12/5/2003,38139.18
455,IR662429,5/12/2004,32239.47
456,GJ715659,11/13/2004,27550.51
456,MO743231,4/30/2004,1679.92
458,DD995006,11/15/2004,33145.56
458,NA377824,2/6/2004,22162.61
458,OO606861,6/13/2003,57131.92
462,ED203908,4/15/2005,30293.77
462,GC60330,11/8/2003,9977.85
462,PE176846,11/27/2004,48355.87
471,AB661578,7/28/2004,9415.13
471,CO645196,12/10/2003,35505.63
473,LL427009,2/17/2004,7612.06
473,PC688499,10/27/2003,17746.26
475,JP113227,12/9/2003,7678.25
475,PB951268,2/13/2004,36070.47
484,GK294076,10/26/2004,3474.66
484,JH546765,11/29/2003,47513.19
486,BL66528,4/14/2004,5899.38
486,HS86661,11/23/2004,45994.07
486,JB117768,3/20/2003,25833.14
487,AH612904,9/28/2003,29997.09
487,PT550181,2/29/2004,12573.28
489,OC773849,12/4/2003,22275.73
489,PO860906,1/31/2004,7310.42
495,BH167026,12/26/2003,59265.14
495,FN155234,5/14/2004,6276.6
496,EU531600,5/25/2005,30253.75
496,MB342426,7/16/2003,32077.44
496,MN89921,12/31/2004,52166
