productCode,productName,productLine,productVendor,quantityInStock,buyPrice,MSRP
S10_1678,1969 Harley Davidson Ultimate Chopper,Motorcycles,Min Lin Diecast,7933,48.81,95.7
S10_1949,1952 Alpine Renault 1300,Classic Cars,Classic Metal Creations,7305,98.58,214.3
S10_2016,1996 Moto Guzzi 1100i,Motorcycles,Highway 66 Mini Classics,6625,68.99,118.94
S10_4698,2003 Harley-Davidson Eagle Drag Bike,Motorcycles,Red Start Diecast,5582,91.02,193.66
S10_4757,1972 Alfa Romeo GTA,Classic Cars,Motor City Art Classics,3252,85.68,136
S10_4962,1962 LanciaA Delta 16V,Classic Cars,Second Gear Diecast,6791,103.42,147.74
S12_1099,1968 Ford Mustang,Classic Cars,Autoart Studio Design,68,95.34,194.57
S12_1108,2001 Ferrari Enzo,Classic Cars,Second Gear Diecast,3619,95.59,207.8
S12_1666,1958 Setra Bus,Trucks and Buses,Welly Diecast Productions,1579,77.9,136.67
S12_2823,2002 Suzuki XREO,Motorcycles,Unimax Art Galleries,9997,66.27,150.62
S12_3148,1969 Corvair Monza,Classic Cars,Welly Diecast Productions,6906,89.14,151.08
S12_3380,1968 Dodge Charger,Classic Cars,Welly Diecast Productions,9123,75.16,117.44
S12_3891,1969 Ford Falcon,Classic Cars,Second Gear Diecast,1049,83.05,173.02
S12_3990,1970 Plymouth Hemi Cuda,Classic Cars,Studio M Art Models,5663,31.92,79.8
S12_4473,1957 Chevy Pickup,Trucks and Buses,Exoto Designs,6125,55.7,118.5
S12_4675,1969 Dodge Charger,Classic Cars,Welly Diecast Productions,7323,58.73,115.16
S18_1097,1940 Ford Pickup Truck,Trucks and Buses,Studio M Art Models,2613,58.33,116.67
S18_1129,1993 Mazda RX-7,Classic Cars,Highway 66 Mini Classics,3975,83.51,141.54
S18_1342,1937 Lincoln Berline,Vintage Cars,Motor City Art Classics,8693,60.62,102.74
S18_1367,1936 Mercedes-Benz 500K Special Roadster,Vintage Cars,Studio M Art Models,8635,24.26,53.91
S18_1589,1965 Aston Martin DB5,Classic Cars,Classic Metal Creations,9042,65.96,124.44
S18_1662,1980s Black Hawk Helicopter,Planes,Red Start Diecast,5330,77.27,157.69
S18_1749,1917 Grand Touring Sedan,Vintage Cars,Welly Diecast Productions,2724,86.7,170
S18_1889,1948 Porsche 356-A Roadster,Classic Cars,Gearbox Collectibles,8826,53.9,77
S18_1984,1995 Honda Civic,Classic Cars,Min Lin Diecast,9772,93.89,142.25
S18_2238,1998 Chrysler Plymouth Prowler,Classic Cars,Gearbox Collectibles,4724,101.51,163.73
S18_2248,1911 Ford Town Car,Vintage Cars,Motor City Art Classics,540,33.3,60.54
S18_2319,1964 Mercedes Tour Bus,Trucks and Buses,Unimax Art Galleries,8258,74.86,122.73
S18_2325,1932 Model A Ford J-Coupe,Vintage Cars,Autoart Studio Design,9354,58.48,127.13
S18_2432,1926 Ford Fire Engine,Trucks and Buses,Carousel DieCast Legends,2018,24.92,60.77
S18_2581,P-51-D Mustang,Planes,Gearbox Collectibles,992,49,84.48
S18_2625,1936 Harley Davidson El Knucklehead,Motorcycles,Welly Diecast Productions,4357,24.23,60.57
S18_2795,1928 Mercedes-Benz SSK,Vintage Cars,Gearbox Collectibles,548,72.56,168.75
S18_2870,1999 Indy 500 Monte Carlo SS,Classic Cars,Red Start Diecast,8164,56.76,132
S18_2949,1913 Ford Model T Speedster,Vintage Cars,Carousel DieCast Legends,4189,60.78,101.31
S18_2957,1934 Ford V8 Coupe,Vintage Cars,Min Lin Diecast,5649,34.35,62.46
S18_3029,1999 Yamaha Speed Boat,Ships,Min Lin Diecast,4259,51.61,86.02
S18_3136,18th Century Vintage Horse Carriage,Vintage Cars,Red Start Diecast,5992,60.74,104.72
S18_3140,1903 Ford Model A,Vintage Cars,Unimax Art Galleries,3913,68.3,136.59
S18_3232,1992 Ferrari 360 Spider red,Classic Cars,Unimax Art Galleries,8347,77.9,169.34
S18_3233,1985 Toyota Supra,Classic Cars,Highway 66 Mini Classics,7733,57.01,107.57
S18_3259,Collectable Wooden Train,Trains,Carousel DieCast Legends,6450,67.56,100.84
S18_3278,1969 Dodge Super Bee,Classic Cars,Min Lin Diecast,1917,49.05,80.41
S18_3320,1917 Maxwell Touring Car,Vintage Cars,Exoto Designs,7913,57.54,99.21
S18_3482,1976 Ford Gran Torino,Classic Cars,Gearbox Collectibles,9127,73.49,146.99
